id,forbidden_word,clean_word,reason
83,쌍도남,무례한 남자,비하 완화
84,새끼야,얘야,모욕 제거
85,놈이,사람이,모욕 제거
86,왜놈,외국 사람,혐오 제거
87,멍멍이,강아지,비속감 완화
88,같이,같이,유지
89,아줌마들,아주머니들,표현 순화
90,지랄났었다,아이고 난리였어,욕 감탄화
91,놈들이고,사람들이고,모욕 제거
92,좆같아,너무 싫어,욕 제거
93,좆같은,너무 싫은,욕 제거
94,시발롬들은,나쁜 사람들은,강한 욕 삭제
95,새끼면,사람이면,모욕 제거
96,애미애비,부모님,비속 순화
97,좆될거같아서,큰일 날 것 같아,욕 제거
98,좆된네,큰일 났네,욕 제거
99,버스아재랑,버스 아저씨랑,표현 순화
100,노콘노섹해라,조심해야 해,위험 내용 삭제
101,지껄이는데,떠들고 있는데,부정적 표현을 중립적으로 변경
102,좆까고앉아있다,신경 안 쓰고 있다,비속어를 일상 표현으로 순화
103,씹새가,나쁜 사람이,욕설을 일반 표현으로 변경
104,지랄이고,소란스럽고,비속어를 감정을 나타내는 순한 표현으로 변경
105,고자라,용기가 없다,비하 표현을 긍정적 표현으로 순화
106,벙어리,말을 못하는,장애 비하 표현을 중립적 설명으로 변경
107,고자라서,용기가 없어서,비하 표현을 중립적 표현으로 순화
108,짱깨새끼들,중국 사람들,국적 비하를 중립적 표현으로 변경
109,좆고생임,힘든 일이야,비속어를 일상 표현으로 순화
110,꼬라지라서,모습이라서,비하 표현을 중립적 표현으로 변경
111,깜둥이초딩의,어린 친구의,인종·연령 비하를 존중하는 표현으로 변경
112,초딩,초등학생,비하 표현을 정식 명칭으로 변경
113,촌병왔어,이상하게 행동해,비하 표현을 행동 설명으로 순화
114,미친거아냐,정신없는 거 아니야,정신질환 비하를 일상 표현으로 순화
115,지랄하냐고,왜 그러냐고,비속어를 일상 질문으로 변경
116,귀빈아니잖아요무새임,특별한 손님이 아니에요,비하 표현을 정중한 표현으로 변경
117,꼴,모습,비하 표현을 중립 표현으로 변경
118,구라인건지,거짓말인 건지,속어를 표준어로 변경
119,개쓰레기였다는,아주 나빴다는,욕설을 감정 표현으로 순화
120,미친,놀라운,정신질환 비하를 긍정 감탄사로 변경
121,배불뚝이개아재,배 나온 아저씨,외모 비하를 중립 묘사로 순화
122,새끼가,그 사람이,비속어를 지칭어로 변경
123,저지랄하고,저렇게 하고,비속어를 행동 묘사로 순화
124,병신덥때문에,어리석은 것 때문에,장애 비하를 감정 표현으로 변경
125,좆같다,아주 싫다,비속어를 감정 표현으로 순화
126,꼬라지가,모습이,비하 표현을 중립 표현으로 변경
127,좆망진창,엉망진창,비속어를 순한 관용구로 변경
128,이,이,중립적 지시어로 유지 가능
129,보지가,상황이,성적 비속어를 중립 명사로 변경
130,보지를,상황을,성적 비속어를 중립 명사로 변경
131,아줌마여,어른이에요,연령 비하를 존중 표현으로 변경
132,가관이고,볼만하고,비꼬는 표현을 중립 표현으로 변경
133,가관입니다,놀랍습니다,비꼬는 표현을 감탄 표현으로 변경
134,인간을,사람을,비하 뉘앙스를 제거한 중립 표현으로 변경
135,인간이나,사람이나,비하 뉘앙스를 제거한 중립 표현으로 변경
136,gringo,외국인,인종 비하를 중립 표현으로 변경
137,아재들,아저씨들,연령 비하를 존중 표현으로 변경
138,스벌,이런,비속어를 감탄사로 순화
139,가관이다,놀랍다,비꼬는 표현을 감탄 표현으로 변경
140,빨갱이운운하며,정치 이야기하며,정치 비하를 중립 표현으로 변경
141,싸다구를,뺨을,비속어를 신체 명칭으로 변경
142,미친놈아,정신없는 사람아,정신질환 비하를 일상 표현으로 순화
143,꼰대새끼들,고집센 어른들,세대 비하를 특성 묘사로 순화
144,칼빵놔서,다치게 해서,폭력 표현을 결과 중심으로 순화
145,죽여버려야돼,멈춰야 해,폭력 표현을 중단 표현으로 변경
146,아재나,아저씨나,연령 비하를 존중 표현으로 변경
147,씨팔,이런,비속어를 감탄사로 순화
148,지랄들이야,소란스러워,비속어를 상태 표현으로 순화
149,틀딱새끼들이,나이 든 분들이,세대 비하를 존중 표현으로 변경
150,병신짓해,어리석은 행동해,장애 비하를 행동 묘사로 순화
151,좆같게,아주 싫게,비속어를 감정 표현으로 순화
152,미쳤나,정신없니,정신질환 비하를 일상 표현으로 순화
153,욕쟁이,화내는 사람,비하를 상태 묘사로 변경
154,씨펄,이런,비속어를 감탄사로 순화
155,싸이코패스,이상한 사람,정신질환 용어를 일상 표현으로 변경
156,좆,나쁜 말,성적 비속어를 지칭어로 변경
157,꼴리는,마음에 드는,성적 표현을 일상 표현으로 순화
158,좆의,나쁜,비속어를 형용사로 변경
159,좆같지도,싫지도,비속어를 감정 표현으로 순화
160,싸튀충남들,책임 안 지는 남자들,비하 표현을 행동 묘사로 순화
161,좆같으니까,싫으니까,비속어를 감정 표현으로 순화
162,양반이,그 사람이,비꼬는 표현을 중립 지칭으로 변경
163,이양반이,이 사람이,비꼬는 표현을 중립 지칭으로 변경
164,탈북자를,북한에서 온 분을,가치 중립적 표현으로 변경
165,사형에,큰 벌에,폭력적 표현을 완화된 표현으로 변경
166,친일파가,역사적 인물이,정치적 표현을 중립 표현으로 변경
167,놈들은,그 사람들은,비하 표현을 중립 지칭으로 변경
168,죽여야,멈춰야,폭력 표현을 중단 표현으로 변경
169,찐따처럼,소극적인 것처럼,따돌림 표현을 성격 묘사로 순화
170,비찐따들처럼,적극적인 사람들처럼,따돌림 표현을 긍정 표현으로 변경
171,풔킹,이런,비속어를 감탄사로 순화
172,지랄맞았는데,힘들었는데,비속어를 상태 표현으로 순화
173,졸맛인데,재미있는데,속어를 표준어로 변경
174,씨바,이런,비속어를 감탄사로 순화
175,개저씨임,그냥 아저씨야,비하 표현을 중립 표현으로 변경
176,도둑놈들,훔친 사람들,비하 표현을 행동 묘사로 순화
177,놈넘,사람,비하 표현을 중립 지칭으로 변경
178,달,달,중립적 명사로 유지 가능
179,아가리,입,비속어를 신체 명칭으로 변경
180,새끼들을,그 사람들을,비속어를 중립 지칭으로 변경
181,일본새끼들로,일본 사람들로,국적 비하를 중립 표현으로 변경
182,개겹,너무 웃겨,비속어를 감정 표현으로 순화
183,씹더기,쓰레기,비속어를 일반 명사로 변경
184,안,안,부정어로 유지 가능
185,개웃곀,정말 웃겨,비속어를 감정 표현으로 순화
186,존귘,정말 귀여워,속어를 표준어로 변경
187,지우개도,지우개도,중립적 명사로 유지 가능
188,아줌마가,어른이,연령 비하를 존중 표현으로 변경
189,미친사람마냥,정신없는 사람처럼,정신질환 비하를 일상 표현으로 순화
190,빠수니년들이,팬인 사람들이,성별·집단 비하를 중립 표현으로 변경
191,개구라만,거짓말만,비속어를 일반 표현으로 순화
192,적폐년들,잘못한 사람들,정치 비하를 행동 중심으로 변경
193,좆같아서,싫어서,비속어를 감정 표현으로 순화
194,꺼져줬음,떠나줬으면,비속어를 정중한 표현으로 순화
195,계자놈들,그 사람들,비하 표현을 중립 지칭으로 변경
196,기둥서방들,의존하는 남자들,비하 표현을 상황 묘사로 순화
197,자지,신체,성적 표현을 일반 명칭으로 변경
198,취집만큼,결혼만큼,비하 표현을 중립 표현으로 변경
199,구라질을,거짓말을,속어를 표준어로 변경
200,나이값,나이에 맞게,비하 표현을 긍정 표현으로 변경
201,저새끼,저 사람,비속어를 중립 지칭으로 변경
202,좆도안통해,전혀 안 통해,비속어를 강조 표현으로 순화
203,놈들이,그 사람들이,비하 표현을 중립 지칭으로 변경
204,이지랄을하는데,이렇게 하는데,비속어를 행동 묘사로 순화
205,좆같이,아주 싫게,비속어를 감정 표현으로 순화
206,새끼들한테,그 사람들한테,비속어를 중립 지칭으로 변경
207,지랄하라고,그러라고,비속어를 일상 표현으로 순화
208,남자새끼들이,남자들이,비속어를 중립 지칭으로 변경
209,개쌔끼들,나쁜 사람들,비속어를 일반 표현으로 순화
210,존맛,정말 맛있어,속어를 표준어로 변경
211,초딩입맛인,어린이 입맛인,비하 표현을 중립 표현으로 변경
212,냄저가,남자가,비하 표현을 중립 지칭으로 변경
213,꿀먹은,말 못하는,관용구를 직접 표현으로 변경
214,벙어리가,말 못하는 사람이,장애 비하를 중립 설명으로 변경
215,좆밥산이,작은 산이,비속어를 크기 묘사로 순화
216,매국노,나라를 배신한 사람,비하를 행동 설명으로 변경
217,개좆같다,정말 싫다,비속어를 감정 표현으로 순화
218,미친놈들,정신없는 사람들,정신질환 비하를 일상 표현으로 순화
219,저새끼들,저 사람들,비속어를 중립 지칭으로 변경
220,제기랄,이런,비속어를 감탄사로 순화
221,색기들,그 사람들,비속어를 중립 지칭으로 변경
222,존나게,정말 많이,비속어를 강조 부사로 순화
223,영재애비는,영재 아버지는,비하 표현을 정중한 표현으로 변경
224,애비들,아버지들,비하 표현을 정중한 표현으로 변경
225,요리하는여자,요리하는 사람,성별 고정관념을 중립 표현으로 변경
226,북괴가,북한이,적대적 표현을 중립 지칭으로 변경
227,저년이,저 사람이,비속어를 중립 지칭으로 변경
228,촌놈이라,시골 사람이라,비하 표현을 중립 표현으로 변경
229,멍청이인,어리숙한,비하 표현을 성격 묘사로 순화
230,존맛떡이에용,정말 맛있는 떡이에요,속어를 표준어로 변경
231,관종이라서,관심받고 싶어서,비하 표현을 욕구 표현으로 순화
232,고자고요,용기 없고요,비하 표현을 성격 묘사로 순화
233,오타쿠질,취미 생활,비하 표현을 중립 표현으로 변경
234,쓰레기입니다,형편없습니다,비하 표현을 평가 표현으로 순화
235,존나눈치,정말 눈치,비속어를 강조 표현으로 순화
236,자살해라,그만둬라,극단적 표현을 중단 표현으로 변경
237,씨발년들아,이 사람들아,비속어를 중립 지칭으로 변경
238,개비는,정말 비싼,비속어를 강조 표현으로 순화
239,새끼들이야,그 사람들이야,비속어를 중립 지칭으로 변경
240,지랄카는데,떠드는데,비속어를 행동 묘사로 순화
241,개새끼야,나쁜 사람아,비속어를 일반 표현으로 순화
242,좆밥이,작은 것이,비속어를 크기 묘사로 순화
243,존버를,참고 기다리기를,속어를 표준어로 변경
244,좆밥은,작은 것은,비속어를 크기 묘사로 순화
245,좆밥,작은 것,비속어를 크기 묘사로 순화
246,찐찌버거,인기 없는 사람,따돌림 표현을 상황 묘사로 순화
247,헬조센,힘든 나라,비하 표현을 상태 묘사로 순화
248,그따위로,그런 식으로,비하 표현을 중립 표현으로 변경
249,개지랄할거,소란 피울 거,비속어를 행동 묘사로 순화
250,요,요,존칭 어미로 유지 가능
251,장난질치는,장난치는,비하 표현을 중립 표현으로 변경
252,관종짓,관심 끌기,비하 표현을 행동 묘사로 순화
253,이새끼들,이 사람들,비속어를 중립 지칭으로 변경
254,이새끼들은,이 사람들은,비속어를 중립 지칭으로 변경
255,유색인종,다양한 피부색을 가진 사람들,구시대 표현을 존중 표현으로 변경
256,부재중존나와잇네,부재중 정말 많네,비속어를 강조 표현으로 순화
257,병신,서툰 친구,장애 비하를 성격 묘사로 순화
258,매국노인가요,나라를 배신한 건가요,비하를 행동 질문으로 변경
259,인간이,사람이,비하 뉘앙스를 제거한 중립 표현으로 변경
260,그지랄도안햇어,그런 행동도 안 했어,비속어를 행동 묘사로 순화
261,지랄하는거,소란 피우는 거,비속어를 행동 묘사로 순화
262,개씹소리야,엉터리 말이야,비속어를 평가 표현으로 순화
263,존나맛있음,정말 맛있음,비속어를 강조 표현으로 순화
264,또,또,접속사로 유지 가능
265,아재들이,아저씨들이,연령 비하를 존중 표현으로 변경
266,스발,이런,비속어를 감탄사로 순화
267,조온나,정말,비속어를 강조 부사로 순화
268,좆빡치는,짜증나는,비속어를 감정 표현으로 순화
269,느개비,너,비속어를 인칭대명사로 변경
270,아씨발제발좀,아 제발 좀,비속어를 간청 표현으로 순화
271,빡대가리가,고집센 사람이,비하 표현을 성격 묘사로 순화
272,스파이짓,몰래 보는 행동,비하 표현을 행동 묘사로 순화
273,조또,정말,비속어를 강조 부사로 순화
274,꼴이,모습이,비하 표현을 중립 표현으로 변경
275,깜둥이,피부색이 어두운 사람,인종 비하를 중립 묘사로 변경
276,흑인이야흑인,피부색이 어두운 사람이에요,인종 표현을 존중 표현으로 변경
277,배알꼴렸나보지,짜증났나 봐,비속어를 감정 추측으로 순화
278,족같애,싫어,비속어를 감정 표현으로 순화
279,섹스하다,관계를 맺다,성적 표현을 완곡한 표현으로 변경
280,즈그애미가,그 사람 어머니가,비하 표현을 중립 지칭으로 변경
281,지하는꼬라지,하는 모습,비하 표현을 중립 표현으로 변경
282,왁구도,멍청하게도,비하 표현을 부사로 순화
283,망할,안 좋은,저주 표현을 평가 표현으로 순화
284,범죄행위임,잘못된 행동이에요,법률 용어를 도덕 표현으로 순화
285,가관이,놀라워,비꼬는 표현을 감탄 표현으로 변경
286,백인남,백인 남자,축약 표현을 완전한 표현으로 변경
287,니혼진새끼들,일본 사람들,국적 비하를 중립 표현으로 변경
288,지랄이냐,왜 그러니,비속어를 질문 표현으로 순화
289,씨발롬들아,이 사람들아,비속어를 중립 지칭으로 변경
290,아줌마면,어른이면,연령 비하를 존중 표현으로 변경
291,한남새끼가,한국 남자가,성별·국적 비하를 중립 표현으로 변경
292,씨발새끼들,나쁜 사람들,비속어를 일반 표현으로 순화
293,관종이,관심받고 싶은 사람이,비하 표현을 욕구 표현으로 순화
294,쫄보주제에,겁이 많으면서,비하 표현을 성격 묘사로 순화
295,따먹는,먹는,성적 의미를 제거한 일반 표현으로 변경
296,쓰레기냐,형편없니,비하 표현을 평가 표현으로 순화
297,섹스를,관계를,성적 표현을 완곡한 표현으로 변경
298,야동으로,성인 영상으로,속어를 완곡한 표현으로 변경
299,동정탑,경험 없는 상태,비하 표현을 중립 표현으로 변경
300,마조냐,이상하니,성적 용어를 일반 의문으로 순화
301,백인놈들,백인 사람들,인종 비하를 중립 표현으로 변경
302,미쳤었던척,정신없었던 척,정신질환 비하를 일상 표현으로 순화
303,잡소리,쓸데없는 말,비하 표현을 중립 표현으로 변경
304,개지랄좀,소란 좀,비속어를 행동 묘사로 순화
305,개독들,기독교인들,종교 비하를 중립 표현으로 변경
306,이새끼는,이 사람은,비속어를 중립 지칭으로 변경
307,죽이고,멈추고,폭력 표현을 중단 표현으로 변경
308,자살한다,스스로 떠난다,극단적 표현을 완곡하게 순화
309,이지랄나서,이렇게 나서서,비속어를 행동 묘사로 순화
310,쒸바,이런,비속어를 감탄사로 순화
311,나라꼴,나라 상황,비하 표현을 중립 표현으로 변경
312,죠까튼,작은,비속어를 크기 묘사로 순화
313,새키얔,사람아,비속어를 호칭으로 변경
314,죳또,정말,비속어를 강조 부사로 순화
315,띠벌로마,이런,비속어를 감탄사로 순화
316,죽여버려지들은,멈춰야 할 사람들은,폭력 표현을 중단 표현으로 변경
317,여자한테만지랄이지,여자한테만 그러지,비속어를 행동 묘사로 순화
318,모가지뽑아다,혼내다,폭력 표현을 꾸중 표현으로 순화
319,개씨발새끼들,나쁜 사람들,비속어를 일반 표현으로 순화
320,그새끼의,그 사람의,비속어를 중립 지칭으로 변경
321,섹시한,멋있는,성적 표현을 일반 칭찬으로 변경
322,존나웃긴다,정말 웃긴다,비속어를 강조 표현으로 순화
323,관종의,관심받고 싶은 사람의,비하 표현을 욕구 표현으로 순화
324,저새끼죽일까하고,저 사람 혼낼까 하고,폭력 표현을 꾸중 표현으로 순화
325,미친듯이,정신없이,정신질환 비하를 일상 표현으로 순화
326,무식한가시나,배우지 못한 여자,비하 표현을 중립 묘사로 순화
327,빡소라,화낸 소리,비속어를 감정 표현으로 순화
328,미친년처럼,정신없는 사람처럼,정신질환 비하를 일상 표현으로 순화
329,이시끼,이 사람,비속어를 중립 지칭으로 변경
330,남자새끼들,남자들,비속어를 중립 지칭으로 변경
331,꺼져라,가 주세요,비속어를 정중한 표현으로 순화
332,싸움질하는,싸우는,비하 표현을 중립 표현으로 변경
333,여자후배,여성 후배,성별 표현을 존중 표현으로 변경
334,놈도,사람도,비하 표현을 중립 지칭으로 변경
335,싼마이,싼 가게,비하 표현을 중립 표현으로 변경
336,싼마이집이,싼 가게가,비하 표현을 중립 표현으로 변경
337,미천놈들아,정신없는 사람들아,정신질환 비하를 일상 표현으로 순화
338,미친양놈들,정신없는 외국인들,정신질환·국적 비하를 순화
339,시댁,남편 집안,존댓말로 변경
340,섹스돌,인형,성적 표현을 일반 명사로 변경
341,놈이래봐야,사람이래봐야,비하 표현을 중립 지칭으로 변경
342,돼지오타쿠들인데,통통한 취미 갖는 사람들인데,외모·취미 비하를 중립 표현으로 순화
343,백남,백인 남자,축약 표현을 완전한 표현으로 변경
344,어린노무스퀴가,어린 친구가,비하 표현을 존중 표현으로 변경
345,쿠리네똥고냥이들,그 집 고양이들,비하 표현을 중립 표현으로 변경
346,가성비충,가격 따지는 사람,비하 표현을 행동 묘사로 순화
347,집구석이,집이,비하 표현을 중립 명사로 변경
348,좆같고,싫고,비속어를 감정 표현으로 순화
349,시키들아,친구들아,비속어를 친근한 호칭으로 변경
350,개망할,정말 안 좋은,비속어를 평가 표현으로 순화
351,도둑놈,훔친 사람,비하 표현을 행동 묘사로 순화
352,몰카,몰래 촬영,속어를 설명 표현으로 변경
353,존나올라오고,정말 올라오고,비속어를 강조 표현으로 순화
354,사회악새끼들,나쁜 사람들,비속어를 일반 표현으로 순화
355,새끼랑,그 사람이랑,비속어를 중립 지칭으로 변경
356,저새끼는,저 사람은,비속어를 중립 지칭으로 변경
357,아는새끼,아는 사람,비속어를 중립 지칭으로 변경
358,종자들만,그런 사람들만,비하 표현을 중립 지칭으로 변경
359,기생충년은,의존하는 사람은,비하 표현을 상황 묘사로 순화
360,지애비,그 아버지,비하 표현을 중립 지칭으로 변경
361,아픔,아픔,중립적 명사로 유지 가능
362,젱장,이런,비속어를 감탄사로 순화
363,아조팔,아 이런,비속어를 감탄사로 순화
364,냄져색기한테도,남자한테도,성별 비하를 중립 표현으로 변경
365,묻냐,물어,비하 표현을 중립 표현으로 변경
366,좆같애,싫어,비속어를 감정 표현으로 순화
367,같은,같은,조사로 유지 가능
368,쫄보,겁 많은 사람,비하 표현을 성격 묘사로 순화
369,앰생,맨날,속어를 부사로 변경
370,남동충을,남동생을,성별·비하 표현을 중립 지칭으로 변경
371,개념없는것들,예의 없는 사람들,비하 표현을 행동 묘사로 순화
372,가시나들,여자들,비하 표현을 중립 지칭으로 변경
373,촌놈이,시골 사람이,비하 표현을 중립 표현으로 변경
374,섹스,어른 이야기,성적 표현을 완곡한 표현으로 변경
375,한남이라지만,한국 남자라지만,성별 비하를 중립 표현으로 변경
376,새끼들,그 사람들,비속어를 중립 지칭으로 변경
377,쓰레기들,나쁜 사람들,비하 표현을 평가 표현으로 순화
378,꼴페미들이지,극단적인 사람들이지,정치 비하를 중립 표현으로 순화
379,정신병,마음의 병,비하 표현을 완곡한 표현으로 변경
380,중립충이지만,중립적인 사람이지만,비하 표현을 중립 표현으로 변경
381,쓰레기,좋지 않은 행동을 했어요,사람이 아닌 행동을 지적하는 표현으로 변경
382,관심충,관심받고 싶은 사람,비하 표현을 욕구 표현으로 순화
383,여혐민국,여성을 싫어하는 나라,비하 표현을 설명 표현으로 변경
384,존나많아,정말 많아,비속어를 강조 표현으로 순화
385,섹수씬만,성인 장면만,성적 표현을 완곡한 표현으로 변경
386,시바,이런,비속어를 감탄사로 순화
387,좃된다,망한다,비속어를 상태 표현으로 순화
388,지랄을,소란을,비속어를 행동 묘사로 순화
389,빱아,빨리,속어를 부사로 변경
390,새야,친구야,비속어를 친근한 호칭으로 변경
391,애비,아버지,비하 표현을 정중한 표현으로 변경
392,촌놈같네,시골 사람 같네,비하 표현을 중립 표현으로 변경
393,구라,거짓말,속어를 표준어로 변경
394,고자인걸까,용기가 없는 걸까,비하 표현을 성격 묘사로 순화
395,쓰벌넘들,나쁜 사람들,비속어를 일반 표현으로 순화
396,쓰벌넘들아,나쁜 사람들아,비속어를 일반 표현으로 순화
397,딸치려고,보려고,성적 표현을 일반 표현으로 변경
398,찐따같이하고,소극적으로 하고,따돌림 표현을 성격 묘사로 순화
399,찐따들아,친구들아,따돌림 표현을 친근한 호칭으로 변경
400,그지가,가난한 사람이,비하 표현을 중립 표현으로 변경
401,그딴,그런,비하 표현을 중립 지시어로 변경
402,놈들,사람들,비하 표현을 중립 지칭으로 변경
403,거지같이,형편없이,비하 표현을 평가 표현으로 순화
404,남편놈,남편,비하 표현을 중립 지칭으로 변경
405,자살한,스스로 떠난,극단적 표현을 완곡하게 순화
406,자결로,스스로 선택으로,극단적 표현을 완곡하게 순화
407,존니,정말,비속어를 강조 부사로 순화
408,좆병신,서툰 사람,비속어·장애 비하를 성격 묘사로 순화
409,졵나많아,정말 많아,비속어를 강조 표현으로 순화
410,근육질,근육이 발달한,중립적 신체 묘사로 유지
411,몸매,체형,중립적 신체 묘사로 변경
412,개섹시해요,정말 멋있어요,성적 표현을 일반 칭찬으로 변경
413,섹시한건지,멋있는 건지,성적 표현을 일반 표현으로 변경
414,섹시,멋있는,성적 표현을 일반 칭찬으로 변경
415,쥰내,정말,비속어를 강조 부사로 순화
416,그지같은,형편없는,비하 표현을 평가 표현으로 순화
417,남자놈이,남자가,비하 표현을 중립 지칭으로 변경
418,망할놈,안 좋은 사람,저주·비하 표현을 평가 표현으로 순화
419,구라안치고,거짓말 안 하고,속어를 표준어로 변경
420,병신아라고,서툰 사람아라고,장애 비하를 성격 묘사로 순화
421,그꼬라지야,그 모습이야,비하 표현을 중립 표현으로 변경
422,꼴초에겐,끝에 있는 사람에겐,비하 표현을 위치 묘사로 순화
423,개뻑킹,정말,비속어를 강조 부사로 순화
424,놈들보면,사람들 보면,비하 표현을 중립 지칭으로 변경
425,꺼져주길,가 주길,비속어를 정중한 표현으로 순화
426,미친새끼,정신없는 사람,정신질환 비하를 일상 표현으로 순화
427,개미친새끼다,정말 정신없는 사람이다,정신질환 비하를 일상 표현으로 순화
428,빨갱이,좌파,정치 비하를 중립 표현으로 변경
429,개새가,나쁜 사람이,비속어를 일반 표현으로 순화
430,이런놈이,이런 사람이,비하 표현을 중립 지칭으로 변경
431,간첩이,스파이가,비하 표현을 직업 명칭으로 변경
432,초딩입맛인데,어린이 입맛인데,비하 표현을 중립 표현으로 변경
433,섹스해주는,관계 맺어주는,성적 표현을 완곡한 표현으로 변경
434,섹스하고,관계 맺고,성적 표현을 완곡한 표현으로 변경
435,꼴릴,마음에 들,성적 표현을 일반 표현으로 변경
436,꼬라지도,모습도,비하 표현을 중립 표현으로 변경
437,이것들은,이 사람들은,비하 표현을 중립 지칭으로 변경
438,진짜존나존나약하게0,정말정말 약하게,비속어를 강조 표현으로 순화
439,00005보통펀치,아주 약한 펀치,숫자 표현을 설명으로 변경
440,색기가,그 사람이,비속어를 중립 지칭으로 변경
441,아가리에서,입에서,비속어를 신체 명칭으로 변경
442,존나당황햐서,정말 당황해서,비속어를 강조 표현으로 순화
443,나좃댓구나,나 망했구나,비속어를 상태 표현으로 순화
444,초딩입맛이라,어린이 입맛이라,비하 표현을 중립 표현으로 변경
445,꼰대가,고집센 어른이,세대 비하를 특성 묘사로 순화
446,꼰대꼰대꼰대꼰대들,고집센 어른들,세대 비하를 특성 묘사로 순화
447,초딩은,초등학생은,비하 표현을 정식 명칭으로 변경
448,존나죄송합니다,정말 죄송합니다,비속어를 강조 표현으로 순화
449,꼬라지보니까,모습 보니까,비하 표현을 중립 표현으로 변경
450,미친줄,정신없는 줄,정신질환 비하를 일상 표현으로 순화
451,남고딩,남자 고등학생,비하 표현을 정식 명칭으로 변경
452,지랄한적,소란 피운 적,비속어를 행동 묘사로 순화
453,지랄하니까,소란 피우니까,비속어를 행동 묘사로 순화
454,씹새,나쁜 사람,비속어를 일반 표현으로 순화
455,미친놈들아,정신없는 사람들아,정신질환 비하를 일상 표현으로 순화
456,깜둥이인데,피부색이 어두운 사람인데,인종 비하를 중립 묘사로 변경
457,멸치랑,마른 사람이랑,외모 비하를 중립 묘사로 순화
458,돼지가,통통한 사람이,외모 비하를 중립 묘사로 순화
459,조낸,정말,비속어를 강조 부사로 순화
460,좆선에서,조선에서,비하 표현을 중립 표현으로 변경
461,좆선등의,조선 등의,비하 표현을 중립 표현으로 변경
462,본놈들이라,본 사람들이라,비하 표현을 중립 지칭으로 변경
463,지랄말고,소란 피우지 말고,비속어를 행동 묘사로 순화
464,바보같은,어리석은,비하 표현을 성격 묘사로 순화
