id,forbidden_word,clean_word
92,ｸｽｺ,
93,ｸｻﾏﾝ,
94,ｷﾞｯﾁｮ,
95,ｷﾓｵﾀ,
96,ｷﾁｶﾞｲ,
97,ｶﾞﾏﾝ汁,
98,ｶﾞﾊﾞﾏﾝ,
99,ｶﾞｲ児,
100,ｶﾘｸﾋﾞ,
101,ｶﾘ首,
102,ｶｳﾊﾟｰ腺液,
103,ｵﾘﾝﾋﾟｯｸ,올림픽 대회
104,ｵﾒｺ,
105,ｵﾏﾝｺ,
106,ｵﾏンコ,
107,ｵﾏンこ,
108,ｵﾏんコ,
109,ｵﾏんこ,
110,ｵﾌｨｼｬﾙ,공식
111,ｵﾅﾆｰ,
112,ｵﾁﾝｺ,
113,ｵﾁﾝこ,
114,ｵﾁンこ,
115,ｵﾁんｺ,
116,ｵﾁんコ,
117,ｵﾁんこ,
118,ｵマﾝｺ,
119,ｵマﾝこ,
120,ｵマンｺ,
121,ｵマンコ,
122,ｵマンこ,
123,ｵマんｺ,
124,ｵマんコ,
125,ｵマんこ,
126,ｵチﾝこ,
127,ｵチンコ,
128,ｵチンこ,
129,ｵチんｺ,
130,ｵチんコ,
131,ｵチんこ,
132,ｵまンこ,
133,ｵまんこ,
134,ｵちﾝこ,
135,ｵちンこ,
136,ｵちんこ,
137,ｴｽｷﾓｰ,
138,ｳﾞｧｷﾞﾅ,
139,ｳﾝｺ,
140,ｲﾀ公,
141,ｱﾒ公,
142,ｱﾇｽ,
143,ｱﾅﾙﾌｧｯｸ,
144,ｱﾅﾙ舐め,
145,ｱﾅﾙ処女,
146,ｱﾅﾙファック,
147,ｱﾅﾙ,
148,ｱｵｶﾝ,
149,ｱｲﾇ犬,아이누
150,ｱｲﾇ人,아이누
151,ｒｍｔ,현금 거래
152,힝구,슬프다
153,힙찔이들,옷을 멋지게 입고 싶어 하는 사람들
154,힙찔이,힙합 찌질이
155,힙찔,유행을 어색하게 따라가는 사람
156,힙스터,자신만의 고유한 스타일을 추구하는 사람
157,힘숨찐,진짜 힘을 숨긴 사람
158,힐링,치유
159,히어로즈,히어로즈 시리즈
160,히밤,
161,히메컷,일자 앞머리 헤어스타일
162,히로뽕,
163,히뜩하다,아이디어가 독특하다
164,희한한놈이네,참 특이한 사람이네
165,희쭈그리,소심해 보이는 모습
166,희연사,희귀한 연예인 사진
167,희얼사,희귀한얼굴 사진
168,흠터레스팅,흥미롭다
169,흠좀무,좀 무섭다
170,흙수저라지만,형편이 어려웠지만
171,흙수저,서민층
172,흑형,흑인
173,흑인이야흑인,피부색이 어두운 사람이에요
174,흑인이라서,그분이라서
175,흑인이나,피부색이 어두운 사람이나
176,흑인이,피부색이 어두운 사람이
177,흑인을,흑인 분을
178,흑인보다,흑인분들 보다
179,흑인됨,피부색이 어두워짐
180,흑인녀에게,흑인 여성분에게
181,흑인녀가,흑인 여성분이
182,흑인관련,인종 관련
183,흑인,피부색이 어두운 사람
184,흑두루미,타인이 하는 말을 그대로 따르다가 큰 손해를 보는 어리석은 사람
185,흐졉,서툰 상태
186,흐젚,서툰 상태
187,흐접쌔끼,사람
188,흐접,서툰 상태
189,휴덕,특정한 것을 좋아하는 행동을 멈춤
190,휴거지,휴먼시아 아파트 사는 거지
191,휙휙호무리,히키코모리
192,휘소가치,타인에겐 무의미해도 내게는 의미 있는 가치
193,휘게라이프,편안함을 추구하는 라이프스타일
194,훔쳐간새끼,훔쳐간 사람
195,훈녀,훈훈한 여자
196,훈남웃음짓고있는꼬라지,웃고 있는 모습
197,훈남,훈훈한 남자
198,후팔,
199,후진국이라,발전이 덜 된 나라라
200,후진국들이,발전이 덜 된 나라들이
201,후좡,
202,후장팔아쳐먹을새끼,매우 무례한 사람
203,후장입사,
204,후장에서,
205,후장에,뒤쪽에
206,후장뚫어,
207,후장꽂아,
208,후장,뒤쪽
209,후비파,
210,후벼,
211,후배위,
212,후릴년,사람
213,후리지마,놀리지 마
214,후뢰자식,사람
215,후로자,
216,후레자식,
217,후레자,
218,후레아들,
219,후레발,
220,후레년,
221,후러덜,
222,후랴,
223,후래자식,사람
224,후래자,
225,후라질년,
226,후라질넘,
227,후라질,
228,후라들년,사람
229,후라들,
230,후라덜넘,사람
231,후라덜,
232,후다년,
233,횽아,형아
234,횰로족,자신의 행복과 현재를 즐기는 사람들
235,횰로,자신의 행복과 현재를 즐기는 사람
236,효수하고,처벌하여 여러 사람에게 경고하고
237,효소찐따,어수룩한 사람
238,횡보,횡보
239,회의주의자,회의를 자주 하는 회사사람
240,회오리주,맥주와 양주를 회오리처럼 흔들어 섞은 술
241,회사샛기,회사 사람
242,회사새끼가,회사 사람이
243,회사밥,회사 주차장의 전기차 충전 시설
244,회사대표란놈이,회사 대표라는 사람이
245,회방남,회사 방침을 철저히 따르는 남자
246,회냉,회냉면
247,황인이,아시아인이
248,황오시,세게 밀어치기
249,황물,황금 물폭탄
250,환승이직,환승해서 바로 이직
251,확찢,
252,확찐자,살이 급격하게 찌다
253,확찌,
254,확벌,
255,화이팅,힘내
256,화이트불편러,사회 부조리에 대한 주장을 펼치는 사람
257,화양년,
258,화성아재들이,화성 중년 남성들이
259,화성아재들은,화성 중년 남성들은
260,화를나게만들어요씨발놈이,그 사람이 화나게 한다
261,화냥뇬,
262,화냥년,
263,화냥,
264,홍인이,홍색 피부 톤의 사람을
265,홍인들이,붉은색 피부 톤을 가진 사람들
266,홍인남자라고,외국 남자라고
267,홍인,외국인
268,홈퍼니족,공채시즌에 집에서 원서접수에 매진하는 사람
269,홈트족,홈 트레이닝 하는 사람들
270,홈트,홈 트레이닝
271,홈캠핑,집에서 캠핑
272,홈루덴스,집에서 노는 걸 즐기는 사람
273,홀오자식,
274,홀리몰리과카몰리,매우 놀랍다
275,홀로족,나 홀로 살아가는 족속
276,홀든놈이,홀든이라는 사람이
277,혼혈인데,다문화 가정 자녀인데
278,혼혈에,다문화 가정 자녀에
279,혼틈,혼란을 틈 타서
280,혼음,행동 표현
281,혼영,혼자 영화
282,혼여,혼자 여행
283,혼술,혼자 술 마시기
284,혼생네컷,혼자서 인생 네 컷
285,혼밥,혼자 밥 먹기
286,혼바비언,혼자 밥 먹는 사람
287,혼모노남덕은,애니메이션을 좋아하는 남성은
288,혼모노,진짜
289,혼놀로그,혼자 노는 브이로그
290,혼놀,혼자 놀기
291,호테스빠,특정 업종
292,호테스바,특정 업종
293,호캉스,호텔에서의 바캉스
294,호주촌구석,호주의 작은 마을
295,호좁,서툰 상태
296,호졉,서툰 상태
297,호오로,
298,호양년,
299,호스티스,접객직
300,호스트빠,특정 업종
301,호빠,특정 업종
302,호봉쒜리,
303,호봉쎄끼,
304,호봉세씨,
305,호모자식,
306,호모쎄끼,
307,호모쌕,
308,호모쉐이,
309,호모섹,
310,호모,동성애자
311,호루자슥,
312,호롸,
313,호로짜식,
314,호로잡,
315,호로자식,
316,호로자슥,
317,호로자,
318,호로오,
319,호로씹잡놈이,심하게 말하는 사람
320,호로쌔꺄,
321,호로쌔기다,좋지 않은 행동을 한다
322,호로쉑,
323,호로색,
324,호로새끼라면서,사람이라면서
325,호로새끼,정말 무례한 친구
326,호로새꺄,
327,호로새,
328,호로뇬,
329,호로년,
330,호로개잡늠,
331,호로개자슥,
332,호로,
333,호레,
334,호러세귀,나쁜 사람
335,호러새끼,나쁜 사람
336,호래자,
337,호냥뇬,
338,호냥년,
339,호구쉐끼,순진한 사람
340,호구새끼들도있는데,손해를 보는 사람들도 있는데
341,호구새끼가,손해만 보는 사람이
342,호구새끼,손해를 보는 사람
343,호구,순진한 사람
344,호광킹,호감형 광고
345,호관과,호텔관광과
346,호갱짓,손해보는 행동
347,혜자,가격에 비해 양과 질이 매우 뛰어남
348,혐짤,혐오스러운 사진
349,혈중마라농도,마라 요리를 먹은 빈도
350,혈육한남에서,남자 형제에게서
351,혈육통해서얘기햇는데시발,가족을 통해 이야기했는데
352,혈육새끼,가족
353,혈육만자식새끼라이거냐,가족만 챙기는 거냐
354,혈육가성비한남존나빡치제씨발,가족 일로 너무 화가 나는데
355,현피,현실 싸움
356,현타,현실자각타임
357,현질,현금 결제
358,현웃,현실에서 웃다
359,현실찐따들은,소극적인 사람들은
360,현실좆찐따도태퀸,현실에서 어려움이 많은 사람
361,현모양처에,좋은 배우자에
362,혀로보지핱기,
363,혀로보지핧기,
364,헴타이,부적절 만화
365,헬페미의,강한 페미니즘의
366,헬창,헬스에 미친 사람
367,헬지관이,헬스장이
368,헬조센,살기 힘든 나라
369,헬조선패치,힘든 나라 변화
370,헬조선이라고,한국이라고
371,헬조선의,한국 사회의
372,헬조선에서는,한국에서는
373,헬조선,살기 힘든 나라
374,헬잘알,헬스 잘 아는 사람
375,헬보직,힘든 보직
376,헬린이,웨이트 트레이닝 초보자
377,헬게이트,혼란스러운 상황
378,헨타이,부적절 만화
379,헤완얼,헤어의 완성은 얼굴
380,헤드샷,머리를 사격
381,헤남인거,남성인 것
382,헛지랄이고,괜한 행동이고
383,헐보,
384,헐미친겁나싸네,정말 많이 저렴하네
385,헐렁보지,
386,헐랭방구,어이가 없다
387,헐랭,어이가 없다
388,헐놈,
389,헐년,
390,헐넘,
391,헐,어이가 없다
392,허좁,허접
393,허졉,허접
394,허젚,허접
395,허벌챙넘,정신없는 사람
396,허벌창,
397,허벌자지,
398,허벌자식,
399,허벌보지,
400,허벌년,
401,허버리년,
402,허뎝,너무하네
403,허덥,조용히 하자
404,허네,하네
405,행세권,은행 역세권
406,행복회로,행복한 상상
407,행그리,배고파서 화가 남
408,햄찌,햄스터
409,핼반도,우리 나라
410,핸타이,부적절 만화
411,핵존맛,정말 맛있는 음식
412,핵인싸,엄청난 인사이더
413,핵아싸,엄청난 아웃사이더
414,핵노답,답이 없는
415,핵꿀잼,큰 재미
416,핵공감,크게 공감
417,항문쑤셔,
418,항문수셔,
419,항마력,정신적 내성
420,핫타임,기간 이벤트
421,함주까,그럴까
422,함빨자,
423,함대줄래,도와줄래
424,함대줄까,도와줄까
425,함대주까,
426,함냉,함흥냉면
427,할타,
428,할아재입니다,어르신입니다
429,할아재들이,어르신들이
430,할아재들은,어르신들은
431,할아재,어르신
432,할배새끼는,할아버지는
433,할배들,할아버지들
434,할배놈,할아버지
435,할미,할머니
436,할매한테,할머니께
437,할매님,할머니
438,할매께,할머니께
439,할매,할머니
440,할망구의,할머니의
441,할많하않,할 말은 많지만 하지 않겠다
442,할류열풍,할아버지들이 일으키는 열풍
443,할뇬,
444,한타,한다
445,한심한새끼,너무 안타까운 사람
446,한심한놈들이,답답한 사람들이
447,한시키,한 사람
448,한명갑니다씨발,한 명 갑니다
449,한달살기,한지역에 오래 머물며 즐기는 여행방식
450,한놈이,한 사람이
451,한놈은,한국 사람은
452,한놈만,한 사람만
453,한놈,한 사람
454,한녀들끼리,여성들끼리
455,한녀들,한국 여성들
456,한녀당했으니,여자에게 당했다고 하니
457,한남한테,한국 남성한테
458,한남충이라고,한국 남성을 비하하는 표현이라고
459,한남충이,한국 남성이
460,한남충은,어떤 사람은
461,한남충에,한국 남자에게
462,한남충새끼,한국 남성
463,한남충들을,남성들을
464,한남충,한국 남성
465,한남천국,남성 중심적 문화
466,한남중의,한국 남성 중에서
467,한남주제에,한국 남성인데
468,한남저씨,한국 아저씨
469,한남임,한국 남성임
470,한남인,한국남자
471,한남이면,한국 남자면
472,한남이랑,한국 남자랑
473,한남이라지만,한국 남자라지만
474,한남이라,한국 남자라
475,한남이다,한국 남자다
476,한남이고,한국 남자이고
477,한남이갓지,한국 남성이 그렇지
478,한남유충,한국 어린 남학생
479,한남유저와,한국 남성 이용자와
480,한남아재들이,한국 중년 남성들이
481,한남아재가,한국 남성 분이
482,한남아,한국 남자야
483,한남새끼한테,한국 남성에게
484,한남새끼라,한국 남성이라서
485,한남새끼가,한국 남자가
486,한남새끼,한국 남자
487,한남보는,한국 남성을 보는
488,한남배우들,한국 남성 배우들
489,한남민국,남녀 이슈가 많은 사회
490,한남무리,한국 남성 무리
491,한남력,한국 남성 능력
492,한남들한테,남성들에게
493,한남들이,한국 남자들이
494,한남들아,남성분들아
495,한남들때문에,한국 남성들 때문에
496,한남들,한국 남자들
497,한남되기라고,한국 남성 되기라고
498,한남돌이,한국 남성 아이돌
499,한남개저씨들,한국 성인 남성들
500,한남개저,한국 남자 아저씨
501,한남같은,한국 남성 같은
502,한국자댕이,한국 사람
503,한국놈이지만,한국 사람이지만
504,한국놈이,한국 사람
505,한국놈들아,한국 사람들아
506,한국놈들,한국 사람들
507,한과영,한국 과학 영재 학교
508,학세권,학원 역세권
509,학살했기에,큰 피해를 주었기에
510,학살자,큰 해를 끼친 사람
511,학교시발,학교
512,하타치,망했다
513,하키맘,아이스하키 경기장까지 데려다주는 엄마
514,하층백인들의,경제적으로 어려운 백인들의
515,하층백인들,가난한 백인들
516,하차감,차에서 내릴 때 받는 느낌과 시선
517,하이피킹덤,하이피킹덤 게임
518,하이피드래곤,하이피드래곤 모험 게임
519,하이텐션,마냥 들뜬 기분
520,하이바,방탄헬멧
521,하이루,안녕
522,하운팅,잠적했다 돌아와서 태연히 문자를 하는 사람
523,하우스푸어,집을 가지고 있지만 가난한 사람
524,하시발,
525,하스데,하드 스우 데미안
526,하메,하우스메이트
527,하루윌,하드 루시드 윌
528,하드코어,강도가 센 것
529,하드캐리,매우 열심히 승리로 이끈
530,하는놈들,하는 사람들
531,하는년들이,하는 사람들이
532,하같색,하늘 아래 같은 색조는 없다
533,핑프,손도 까딱 안하는 왕자 공주 같은 사람
534,핑거나이츠,핑거나이츠 게임
535,필테,필라테스
536,필킬,반드시 죽일 수 있다
537,필카,필름 카메라
538,필수템,반드시 필요한 아이템
539,필밴,반드시 선택 금지
540,필리핀남자들아,필리핀 남성들아
541,피흡,체력 흡수
542,피코네코,피코네코 캐릭터 브랜드
543,피켓팅,치열한 티켓팅
544,피카츄네이놈,피카츄 같은 녀석
545,피엠,기획 담당자
546,피씨충피씨충,예의 따지는 사람
547,피씨충,PC 문화를 좋아하는 사람
548,피스톤질응,빠르게 움직이는 동작은
549,피스톤질,빠르게 움직이는 동작
550,피스톤,반복적인 움직임
551,피방,피시방
552,피맥,피자와 맥주
553,피망플러스,게임 서비스
554,피망포커,피망 포커 게임
555,피망맞고,피망 맞고 게임
556,피디,제작 담당자
557,피나치공,피자나라 치킨공주
558,플미충한테,플레이 미스 하는 사람한테
559,플미충,플레이 미스 하는 사람
560,플미꾼,되팔이하는 사람
561,플로깅,걷거나 뛰면서 길거리의 쓰레기를 줍는 봉사활동
562,플렉스,과시 자랑
563,플레이어,게임 참여자
564,플러스피망,게임 서비스
565,플라스틱수저,서민층
566,프사,프로필 사진
567,프리터족,직업없이 아르바이트를 하며 지내는 사람
568,프리커족,모은 돈으로 얼마간 놀거나 자기계발을 하며 사는 계층
569,프로한남들아,한국 남자들아
570,프로아나,거식증을 찬성하는 사람
571,풔킹,이런
572,풋잡,
573,품절녀,유부녀
574,품절남,유부남
575,풀창,영창 징계 최대치
576,풀접,서버에 인원이 가득 접속
577,풀알,남성의 소중한 곳
578,풀방,게임 상의 방에 인원이 가득
579,풀발기하는거니까요,과하게 흥분하는 거니까요
580,풀멍,풀을 멍하게 쳐다보며 휴식
581,푼수짓,엉뚱한 행동
582,푸라면,신라면
583,퐁퐁단,결혼생활에서 주도권이 없는 남성
584,퐁퐁남,결혼생활에서 주도권이 없는 남성
585,폴꾸,폴라로이드 사진 꾸미기
586,폰팔이,휴대폰 판매원
587,폰쎅,
588,폰쌕,
589,폰쉑,
590,폰섹을,전화로 장난을
591,폰섹스,
592,폰섹같이,전화 장난처럼
593,폰섹?스,
594,폰섹,전화 장난
595,폰세엑,
596,폰색,
597,폰떽,
598,폰딧불,핸드폰 불빛으로 시선을 빼앗는 사람
599,폰놈처럼,핸드폰을 자주 쓰는 사람처럼
600,폰x,
601,폰s,
602,폭우냔,폭우가
603,폭망인간이네,많이 힘든 상황이네
604,폭망,폭삭 망하다
605,폭딜,폭발적인 데미지
606,폭뀨,
607,포토러킹,블로그 뒤적거리기
608,포털앱,앱 서비스
609,포큐,
610,포카,포토 카드
611,포차,포장마차
612,포온섹,
613,포르로,부적절 영상
614,포르노인,
615,포르노에서의,
616,포르노,부적절 영상
617,포르너,부적절 영상
618,포르나,부적절 영상
619,포로느,부적절 영상
620,포로너,부적절 영상
621,포뀨,
622,폐티시,특정 취향
623,폐티쉬,특정 취향
624,폐티걸,특정 취향
625,폐니스,남성의 소중한 곳
626,폐거리,무리
627,평해튼,북한의 상류층
628,평타치,평균
629,평타,일반 공격
630,평생쳐맞다죽길바래,네가 잘 안되길 바래
631,평반,평생 반말
632,평냉,평양냉면
633,평가질하고,평가하고
634,편순이를,편의점 직원분을
635,편세권,편의점 역세권
636,편부모가정인지,편부모 가정인지
637,편맥,편의점 맥주
638,편리미엄,편리함이 곧 프리미엄
639,편도족,편의점 도시락을 찾는 사람들
640,펭귄아빠,가족을 보기 힘든 아빠
641,펫팸족,펫패밀리족
642,펠라치오,
643,펠라,친밀한 행동
644,펜타킬,5연속 킬
645,페팅,
646,페티시,특정 취향
647,페티쉬,특정 취향
648,페티걸,특정 취향
649,페친,페이스북 친구
650,페이스펙,외모가 능력
651,페북스타,페이스북 스타
652,페북,페이스북
653,페메,페이스북 메시지
654,페도충을,
655,페니스,남성의 소중한 곳
656,펔큐,
657,펔유,
658,펔뀨,
659,펔규,
660,펄뇬,
661,펄놈,
662,펄년,
663,펄넘,
664,펀섹,
665,펀색,
666,퍽큐,
667,퍽유,
668,퍼큐,
669,퍼케이션,경영난으로 인한 강제 무급휴가
670,퍼스트미션,첫 번째 임무
671,퍼르노,부적절 영상
672,팰라치오,
673,팬픽,연예인 혹은 작품의 2차 창작물
674,팬티안입었나이씨발놈,옷차림이 궁금한 말이 거친 남자
675,팬질,팬활동
676,팬아저,팬이 아니어도 저장
677,팬싸,팬 싸인회
678,팩폭,반박할수없는 진실로 상대에게 타격
679,팩트폭행,사실을 바탕으로 한 비판
680,패티시,특정 취향
681,패티쉬,특정 취향
682,패완얼,패션의 완성은 얼굴
683,패악질부리고,소란을 피우고
684,패악질,나쁜 행동
685,패스트힐링,빠른 치유
686,패스가,건너뛰기가
687,패션고자,패션 감각이 부족한 사람
688,패드립,더러운 농담
689,패니스,남성의 소중한 곳
690,패거리,무리
691,팔아먹은놈,책임을 저버린 사람
692,팔리는꼬라지보면,팔리는 모습 보면
693,팔로워,자신을 팔로우하고 있는 유저
694,팔럼,
695,팔뇬,
696,팔놈,
697,팔년,
698,팔넘,
699,판자촌이나,주택 환경이 열악한 곳이나
700,판새끼,사람
701,판꼬라지가,상황이
702,팍세권,공원이 근처에 있는 지역
703,파티원,그룹에 속하는 팀원
704,파테크,재테크
705,파큐,
706,파이어족,경제적 독립으로 일찍 은퇴하는 사람
707,파오후아니면,체격이 큰 사람이 아니면
708,파쇼새끼들도,권위적인 사람들도
709,파바,파리 바게트
710,파밍,성장하기 위해 모으기
711,파랜드워,파랜드워 모험 전략 게임
712,파데,파운데이션
713,파덜어택,게임하는데 아버지가 들이닥쳤다
714,팅기는새끼들,빠지는 사람들
715,팀킬,팀원을 공격
716,팀부,팀부스터
717,틱띠기,초단타 거래를 하는 코인방식
718,티키타카,대화가 잘 통하는 상황
719,티이발,아이구
720,티엠티,말 많은 사람
721,티어,단계
722,티본,일본
723,티발,아이구
724,티꼽냐,불편하니
725,티꼽,불편함
726,티껍냐,불편하니
727,티껍,불편
728,틀딱충이라고,어르신이라고
729,틀딱충,어른
730,틀딱이긴,연세가 있으시긴
731,틀딱색기와서,연세 있는 분이 오셔서
732,틀딱새끼들이,나이 든 분들이
733,틀딱새끼들은,연세가 많은 분들은
734,틀딱들이,어르신들이
735,틀딱년,어른
736,틀딱,어른
737,틀니압수,틀니를 압수하여 응징
738,튼실한벅지,건강해 보이는 다리
739,트창년들,트위터 하는 사람들
740,트젠이냐고,성별이 다른 사람이냐고
741,트젠,트랜스젠더
742,트리플킬,3연속 킬
743,트리플에이형,소심한 성격
744,트롤링,아군 팀을 고의로 패배하게 만드는 행위
745,트롤러,아군 팀을 고의로 패배하게 만드는 사람
746,트로피남편,가사와 육아를 책임지는 남편
747,트랜스젠더,성별 정체성이 다양한 사람
748,튀꼽냐,당황했니
749,튀꼽,당황
750,튀껍냐,당황했니
751,투디씹덕색기들보단,2D를 좋아하는 사람들보다는
752,퇴튜던트,퇴근 후 공부하는 직장인
753,퇴준생,퇴사 준비생
754,퇴물이니까,오래된 것이니까
755,퇴거위로금,퇴거했을때 받는 위로금
756,통맹,소통할 줄을 모름
757,톤어그로,톤에 맞지 않는 화장품 사용
758,톤그로,톤에 맞지 않는 화장품 사용
759,톡디,톡 아이디
760,토착왜구,일본을 지지하는 사람
761,토스매매법,재테크하는 방법
762,템빨,아이템 다 이기는
763,텔포,순간이동
764,테크트리,계필요한 선행 기술들13891
765,테크니카Q,테크니카Q 음악 리듬 게임
766,테슬라,테라와 참이슬을 섞은 것
767,텅장,돈이 없거나 적은 통장
768,털지갑,지갑
769,털보새끼도,수염 많은 사람도
770,턱스크,턱만 가린 마스크
771,터주제에,주제에
772,탱커,전방 포지션
773,탱구리,
774,탱구,
775,탭소닉스타,탭소닉 리듬 게임 스타 버전
776,탭소닉링스타,탭소닉링스타 리듬 게임 확장판
777,탭소닉,탭소닉 리듬 게임
778,탕진잼,일상생활에 지장이 없는 수준에서 푼돈을 쓰는 것
779,탑신병자,상단 라인을 가는 감정적인 유저
780,탑라인,상단 라인
781,탑라이너,상단 라인을 가는 유저
782,탑다이브,상단 라인 포탑 내부 공격
783,탐라,타임라인
784,탈코녀라고,메이크업을 하지 않는 여성이라고
785,탈주,도망
786,탈북자를,북한을 탈출한 분을
787,탈북자가,탈북한 분이
788,탈밍아웃,탈모를 고백하는 것
789,탈모놈,탈모인이
790,탈룰라,의도치 않게 패륜적 농담을 친 사람이 상황을 수습하는 모습
791,탈라도,전라도 지역 분들
792,탈덕,덕후 생활을 그만
793,탄핵시위질이며,탄핵 시위 같은 행동이며
794,탄탄한,단단한
795,탄알집,탄창
796,타조세대,노후 불안에 시달리면서도 대책없이 자포자기상태에 빠진 세대
797,타조대가리의,타조 머리의
798,타이니월드,타이니월드 게임
799,타이거맘,호랑이 엄마
800,킹좋다,매우 좋다
801,킹익,사회복무요원
802,킹왕짱,더 좋을 수 없을 때까지 좋은
803,킹받는다,열받는다
804,킹리적갓심,합리적 의심
805,킹능성,매우 높은 가능성
806,킹냥이,고양이
807,킹고프다,매우 배고프다
808,킬링필드꼴,큰 혼란
809,킬각,죽여야 할 때
810,키큰놈을,키 큰 사람을
811,키카,키즈 카페
812,키보드아줌마,온라인에서 의견을 많이 내는 분
813,키덜트,장난감을 좋아하는 어른
814,큼섹,
815,클리토리스,신체 부위
816,큰보지,신체 부위
817,큰놈이랑,큰 아이와
818,크카,크로스 카운터
819,크리토리스,신체 부위
820,크랙베리,휴대전화로 인터넷을 지나치게 사용하는 증상
821,퀸망진창,현실에서 엉망진창으로 빠져든다
822,쿼터갓,
823,쿼드라킬,한순간에 적을 넷 처치하는 것
824,쿵쾅이인데,체중이 많이 나가는 사람인데
825,쿰척쿰척,우물쭈물
826,쿨한,멋진
827,쿠크다스,약해서 부서지기 쉬운 것
828,쿠쿠루삥뽕,약오르지
829,쿠세권,쿠팡 역세권
830,쿠세,고치기 힘든 나쁜 버릇
831,쿠바쉐,쿠키 바닐라 쉐이크
832,쿠리네똥고냥이들,그 집 고양이들
833,콩불,콩나물 불고기
834,콩가루집안,도덕적이지 않은 가족
835,콜,거래처
836,콘돔,안전용품
837,코피스족,커피전문점에서 업무를 보는 직장인
838,코쟁이,서양인
839,코인충,암호화페 투자자
840,코비디어트,코로나 예방 수칙을 어기는 비상식적인 사람
841,코블리,웸블리 같은 코엑스
842,코린이,가상화폐 초보
843,코로니얼,코로나 시대에 태어난 세대
844,코로노미쇼크,코로나로 인한 소비위축 밎 생활고
845,코로나이혼,코로나 시대에 이혼이 증가
846,코로나결혼,코로나로 인한 외로움으로 결혼
847,코노,코인 노래방
848,케자식,사람
849,케세끼,
850,케세,
851,케새킹,무례한 사람
852,케새끼,무례한 사람
853,케새,무례한 말
